City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Korla,CN,81.23,overcast clouds,41.7597,86.1469,Gulisitan Hotel
5,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
11,Fairbanks,US,79.09,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
12,Bontang,ID,77.23,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
14,Hamilton,US,86.63,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
23,Santa Cruz,BO,85.46,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
25,Nanakuli,US,82.71,clear sky,21.3906,-158.1547,Camp Pālehua
26,Rabak,SD,80.67,broken clouds,13.1809,32.74,فندق ربك Rabak Hotel
27,Kavaratti,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
36,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
40,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
41,Wanning,CN,80.65,overcast clouds,18.8003,110.3967,Paradise Hotel
44,Cubuk,TR,76.46,clear sky,40.2386,33.0322,Çubuk Öğretmenevi
45,San Patricio,US,87.67,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
47,Sao Filipe,CV,78.39,overcast clouds,14.8961,-24.4956,Hotel Xaguate
50,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Luganville,VU,76.06,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
55,Guerrero Negro,MX,81.59,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
64,Shelburne,CA,84.85,clear sky,44.0787,-80.2041,The Retreat at the Farm
65,Faanui,PF,79.16,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
66,Coari,BR,88.41,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
