City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saldanha,ZA,2021-08-04 15:19:53,-33.0117,17.9442,59.38,87,4,13.8
1,Busselton,AU,2021-08-04 15:19:30,-33.65,115.3333,47.05,89,1,6.85
2,Asyut,EG,2021-08-04 15:19:54,27.181,31.1837,111.38,8,3,10.25
3,Ixtapa,MX,2021-08-04 15:19:54,20.7,-105.2,83.23,78,75,0.0
4,Shingu,JP,2021-08-04 15:19:54,33.7333,135.9833,80.91,90,1,3.47
5,Ushuaia,AR,2021-08-04 15:19:33,-54.8,-68.3,55.06,41,75,18.41
6,Upernavik,GL,2021-08-04 15:19:55,72.7868,-56.1549,44.74,80,25,6.78
7,Cherskiy,RU,2021-08-04 15:19:55,68.75,161.3,41.13,89,100,5.57
8,Mataura,NZ,2021-08-04 15:19:56,-46.1927,168.8643,34.48,90,100,2.48
9,Katsuura,JP,2021-08-04 15:19:56,35.1333,140.3,78.91,86,11,2.13
10,Saint-Philippe,RE,2021-08-04 15:19:56,-21.3585,55.7679,69.39,79,98,17.9
11,Nikolskoye,RU,2021-08-04 15:19:31,59.7035,30.7861,66.4,49,95,5.23
12,Atuona,PF,2021-08-04 15:19:23,-9.8,-139.0333,77.86,67,100,14.18
13,Mpika,ZM,2021-08-04 15:19:57,-11.8343,31.4529,69.49,28,0,9.89
14,Bluff,NZ,2021-08-04 15:19:57,-46.6,168.3333,34.81,79,100,5.99
15,Vaini,TO,2021-08-04 15:19:58,-21.2,-175.2,62.76,88,20,4.61
16,Bredasdorp,ZA,2021-08-04 15:19:58,-34.5322,20.0403,61.29,84,57,6.53
17,Ponta Do Sol,PT,2021-08-04 15:19:58,32.6667,-17.1,81.72,69,14,2.75
18,Rikitea,PF,2021-08-04 15:19:32,-23.1203,-134.9692,71.42,67,20,14.12
19,Kruisfontein,ZA,2021-08-04 15:19:59,-34.0033,24.7314,59.88,81,98,4.94
20,Thompson,CA,2021-08-04 15:20:00,55.7435,-97.8558,59.16,77,90,17.27
21,Pangnirtung,CA,2021-08-04 15:20:00,66.1451,-65.7125,53.6,76,90,18.41
22,Aklavik,CA,2021-08-04 15:20:00,68.2191,-135.0107,54.43,76,20,4.61
23,Arraial Do Cabo,BR,2021-08-04 15:20:01,-22.9661,-42.0278,73.26,64,40,16.11
24,Guayaquil,EC,2021-08-04 15:16:44,-2.1667,-79.9,76.96,76,75,8.05
25,Acapulco,MX,2021-08-04 15:20:01,16.8634,-99.8901,75.02,100,90,8.05
26,Lagoa,PT,2021-08-04 15:20:02,39.05,-27.9833,72.68,87,1,11.79
27,Weilheim,DE,2021-08-04 15:20:03,47.8333,11.15,63.12,95,100,2.44
28,New Norfolk,AU,2021-08-04 15:20:04,-42.7826,147.0587,47.91,68,100,1.99
29,Batemans Bay,AU,2021-08-04 15:20:06,-35.7167,150.1833,53.91,55,48,9.78
30,Kodiak,US,2021-08-04 15:20:08,57.79,-152.4072,47.71,93,40,3.44
31,San Cristobal,VE,2021-08-04 15:20:09,7.7669,-72.225,75.38,81,100,5.99
32,Bathsheba,BB,2021-08-04 15:20:10,13.2167,-59.5167,86.61,70,40,17.27
33,Saint Anthony,US,2021-08-04 15:20:11,45.0205,-93.218,78.87,59,1,3.0
34,Bilibino,RU,2021-08-04 15:20:12,68.0546,166.4372,38.1,92,100,4.63
35,Barrow,US,2021-08-04 15:20:01,71.2906,-156.7887,42.82,74,75,8.05
36,Tuktoyaktuk,CA,2021-08-04 15:20:12,69.4541,-133.0374,50.0,76,75,11.5
37,Sao Filipe,CV,2021-08-04 15:20:13,14.8961,-24.4956,78.98,85,88,12.68
38,Tual,ID,2021-08-04 15:20:13,-5.6667,132.75,80.82,76,100,19.19
39,Tasiilaq,GL,2021-08-04 15:20:14,65.6145,-37.6368,51.96,75,95,1.34
40,Faanui,PF,2021-08-04 15:20:15,-16.4833,-151.75,78.93,75,55,11.48
41,Hobart,AU,2021-08-04 15:16:11,-42.8794,147.3294,48.25,68,40,1.01
42,Longyearbyen,SJ,2021-08-04 15:20:16,78.2186,15.6401,46.24,71,75,17.27
43,Santa Maria,BR,2021-08-04 15:16:37,-29.6842,-53.8069,62.15,64,97,7.99
44,Kavieng,PG,2021-08-04 15:20:16,-2.5744,150.7967,81.07,75,34,3.47
45,La Palma,US,2021-08-04 15:20:17,33.8464,-118.0467,88.36,80,1,1.01
46,Jamestown,US,2021-08-04 15:19:26,42.097,-79.2353,75.29,64,1,5.75
47,Lebu,CL,2021-08-04 15:20:18,-37.6167,-73.65,58.53,65,57,8.7
48,Andujar,ES,2021-08-04 15:20:19,38.0392,-4.0508,93.7,16,27,9.35
49,Castro,BR,2021-08-04 15:11:06,-24.7911,-50.0119,57.7,57,2,8.68
50,Chokurdakh,RU,2021-08-04 15:20:20,70.6333,147.9167,36.19,86,85,10.47
51,Albany,US,2021-08-04 15:07:39,42.6001,-73.9662,73.27,67,100,2.62
52,Ntungamo,UG,2021-08-04 15:20:21,-0.8833,29.65,81.55,40,70,0.92
53,Yerbogachen,RU,2021-08-04 15:20:22,61.2767,108.0108,63.16,69,94,5.19
54,Yellowknife,CA,2021-08-04 15:17:09,62.456,-114.3525,52.32,62,90,3.44
55,Husavik,IS,2021-08-04 15:20:22,66.0449,-17.3389,57.11,72,68,6.73
56,Koslan,RU,2021-08-04 15:20:23,63.4564,48.8989,67.08,57,69,9.26
57,Provideniya,RU,2021-08-04 15:20:24,64.3833,-173.3,50.2,89,100,20.42
58,Nanortalik,GL,2021-08-04 15:20:25,60.1432,-45.2371,45.75,94,100,6.46
59,Makakilo City,US,2021-08-04 15:20:26,21.3469,-158.0858,77.32,71,1,8.05
60,Amuntai,ID,2021-08-04 15:20:26,-2.4177,115.2494,77.32,81,97,0.92
61,Te Anau,NZ,2021-08-04 15:20:26,-45.4167,167.7167,37.27,91,100,1.97
62,Saint George,US,2021-08-04 15:17:07,37.1041,-113.5841,88.39,27,1,3.0
63,Codrington,AU,2021-08-04 15:20:27,-38.2667,141.9667,49.87,90,23,12.19
64,Yambio,SS,2021-08-04 15:20:27,4.5721,28.3955,75.18,83,60,2.86
65,Cape Town,ZA,2021-08-04 15:17:11,-33.9258,18.4232,62.28,73,20,3.0
66,Ambulu,ID,2021-08-04 15:20:28,-8.345,113.6058,75.45,91,42,5.08
67,Moron,AR,2021-08-04 15:20:28,-34.6534,-58.6198,63.01,75,39,1.99
68,Cidreira,BR,2021-08-04 15:20:28,-30.1811,-50.2056,62.01,82,99,4.94
69,Cabo San Lucas,MX,2021-08-04 15:16:33,22.8909,-109.9124,88.52,70,75,5.99
70,Qujing,CN,2021-08-04 15:20:29,25.4833,103.7833,62.38,86,9,2.13
71,Bambous Virieux,MU,2021-08-04 15:20:30,-20.3428,57.7575,70.05,73,75,17.27
72,Seoul,KR,2021-08-04 15:17:47,37.5683,126.9778,80.11,88,0,1.14
73,Kirakira,SB,2021-08-04 15:20:31,-10.4544,161.9205,73.99,81,14,4.68
74,Port Hardy,CA,2021-08-04 15:20:31,50.6996,-127.4199,62.78,94,75,0.0
75,Mecca,SA,2021-08-04 15:20:31,21.4267,39.8261,100.74,27,81,14.7
76,Hualmay,PE,2021-08-04 15:20:32,-11.0964,-77.6139,65.43,80,61,5.64
77,Jabinyanah,TN,2021-08-04 15:20:32,35.035,10.9081,98.4,40,0,13.29
78,Broome,US,2021-08-04 15:20:32,42.2506,-75.833,75.16,79,1,1.01
79,Hilo,US,2021-08-04 15:20:33,19.7297,-155.09,69.8,91,90,6.91
80,Qaanaaq,GL,2021-08-04 15:20:33,77.484,-69.3632,43.92,76,89,4.59
81,Luderitz,NA,2021-08-04 15:20:33,-26.6481,15.1594,59.68,78,3,3.58
82,Cockburn Town,TC,2021-08-04 15:20:34,21.4612,-71.1419,82.38,76,25,19.17
83,Puerto Ayora,EC,2021-08-04 15:20:34,-0.7393,-90.3518,75.16,77,28,11.81
84,Saint-Georges,GD,2021-08-04 15:20:21,12.0564,-61.7485,85.68,70,40,2.3
85,Gilgit,PK,2021-08-04 15:20:35,35.9221,74.3087,77.32,61,62,9.42
86,Punta Arenas,CL,2021-08-04 15:20:35,-53.15,-70.9167,48.31,61,0,13.8
87,Hasaki,JP,2021-08-04 15:20:36,35.7333,140.8333,75.49,89,0,3.83
88,Christchurch,NZ,2021-08-04 15:15:47,-43.5333,172.6333,48.0,80,100,7.0
89,Gamba,GA,2021-08-04 15:20:37,-2.65,10.0,79.25,70,98,9.8
90,Vicuna,CL,2021-08-04 15:20:37,-30.0319,-70.7081,51.53,9,0,4.25
91,Eresos,GR,2021-08-04 15:20:37,39.1667,25.9333,96.31,58,0,4.85
92,Yeppoon,AU,2021-08-04 15:20:38,-23.1333,150.7333,47.98,46,1,11.56
93,Mlonggo,ID,2021-08-04 15:20:38,-6.5333,110.7,78.46,86,8,7.36
94,Inhambane,MZ,2021-08-04 15:20:39,-23.865,35.3833,69.78,60,20,9.04
95,Pisco,PE,2021-08-04 15:20:39,-13.7,-76.2167,63.01,82,90,6.91
96,Nemuro,JP,2021-08-04 15:20:40,43.3236,145.575,66.99,98,99,6.08
97,Cayenne,GF,2021-08-04 15:20:40,4.9333,-52.3333,88.09,71,90,1.99
98,Avarua,CK,2021-08-04 15:20:41,-21.2078,-159.775,73.45,68,75,10.36
99,Zhigansk,RU,2021-08-04 15:20:41,66.7697,123.3711,62.46,50,16,8.32
100,Prabumulih,ID,2021-08-04 15:20:41,-3.45,104.25,78.58,75,92,2.44
101,Liverpool,GB,2021-08-04 15:17:23,53.4106,-2.9779,74.89,67,40,1.99
102,Tabou,CI,2021-08-04 15:20:42,4.423,-7.3528,79.29,78,91,11.43
103,Kushiro,JP,2021-08-04 15:20:42,42.975,144.3747,68.58,98,71,2.8
104,Bethel,US,2021-08-04 15:19:33,41.3712,-73.414,73.11,78,1,4.61
105,Bubaque,GW,2021-08-04 15:15:46,11.2833,-15.8333,79.47,79,100,6.22
106,Phalaborwa,ZA,2021-08-04 15:20:43,-23.943,31.1411,81.68,28,0,5.39
107,Beloha,MG,2021-08-04 15:20:43,-25.1667,45.05,66.72,72,0,15.28
108,Salalah,OM,2021-08-04 15:20:43,17.0151,54.0924,80.69,89,90,8.05
109,Pevek,RU,2021-08-04 15:20:44,69.7008,170.3133,38.28,94,100,4.27
110,Hermanus,ZA,2021-08-04 15:20:44,-34.4187,19.2345,64.9,83,31,9.8
111,Inuvik,CA,2021-08-04 15:20:44,68.3499,-133.7218,54.46,58,1,5.75
112,Port Alfred,ZA,2021-08-04 15:20:45,-33.5906,26.891,64.87,83,21,16.15
113,Palmares Do Sul,BR,2021-08-04 15:20:45,-30.2578,-50.5097,63.18,78,100,2.04
114,Khatanga,RU,2021-08-04 15:20:46,71.9667,102.5,68.94,43,99,15.26
115,Timra,SE,2021-08-04 15:20:46,62.487,17.3257,67.71,55,0,14.97
116,Solnechnyy,RU,2021-08-04 15:20:46,50.7214,136.6319,53.74,98,100,5.08
117,Beringovskiy,RU,2021-08-04 15:20:47,63.05,179.3167,46.98,99,100,14.65
118,Samarai,PG,2021-08-04 15:20:47,-10.6167,150.6667,77.77,84,53,12.68
119,Carnarvon,AU,2021-08-04 15:20:47,-24.8667,113.6333,51.87,38,0,9.22
120,Kapaa,US,2021-08-04 15:20:48,22.0752,-159.319,79.12,79,40,3.0
121,Voh,NC,2021-08-04 15:20:48,-20.9667,164.7,62.51,83,83,3.98
122,Olafsvik,IS,2021-08-04 15:20:48,64.8945,-23.7142,53.67,90,98,7.02
123,East London,ZA,2021-08-04 15:20:49,-33.0153,27.9116,65.34,82,0,9.22
124,Hithadhoo,MV,2021-08-04 15:19:26,-0.6,73.0833,81.99,77,100,8.63
125,Traverse City,US,2021-08-04 15:20:49,44.7631,-85.6206,77.83,64,90,9.22
126,Kindersley,CA,2021-08-04 15:17:26,51.4668,-109.1682,67.78,82,75,9.22
127,Ola,RU,2021-08-04 15:20:49,59.5833,151.2833,51.46,51,99,14.07
128,Georgetown,MY,2021-08-04 15:20:50,5.4112,100.3354,83.89,83,20,2.3
129,Narrabri,AU,2021-08-04 15:20:50,-30.3167,149.7833,43.79,88,61,5.97
